,current_team,player_name,agent_played,role_on_team,usage,rnd_num,avg_combat_score,kill_death_ratio,avg_dmg,kast,kills_per_rnd,ast_per_rnd,fk_per_rnd,fd_per_rnd,kills,death,ast,fk,fd,team_rank
1432,n/a,Julia,chamber,sentinel,0.111,63,198.3,1.23,133.2,0.68,0.78,0.03,0.06,0.05,49,40,2,4,3,n/a
1433,n/a,Julia,phoenix,duelist,0.037000000000000005,22,273.0,1.24,198.3,0.68,0.95,0.23,0.18,0.05,21,17,5,4,1,n/a
1434,n/a,Julia,neon,duelist,0.037000000000000005,23,207.0,1.13,134.3,0.65,0.78,0.09,0.17,0.09,18,16,2,4,2,n/a
1435,n/a,wackie,jett,duelist,0.5710000000000001,323,221.9,1.15,140.6,0.69,0.79,0.14,0.19,0.18,256,223,46,61,59,n/a
1436,n/a,wackie,chamber,sentinel,0.25,152,267.3,1.47,166.4,0.78,0.99,0.15,0.20,0.12,150,102,23,31,18,n/a
1437,n/a,wackie,skye,initiator,0.107,58,206.0,1.18,128.8,0.64,0.79,0.12,0.05,0.12,46,39,7,3,7,n/a
1438,n/a,wackie,raze,duelist,0.071,37,240.0,1.15,155.9,0.68,0.81,0.19,0.24,0.19,30,26,7,9,7,n/a
1439,Laboratorio do Leozin,txddy,viper,controller,0.455,207,217.5,0.98,140.7,0.71,0.72,0.29,0.06,0.07,150,153,59,13,14,1612
1440,Laboratorio do Leozin,txddy,omen,controller,0.273,118,198.3,1.10,124.6,0.75,0.72,0.36,0.08,0.05,85,77,42,9,6,1612
1441,Laboratorio do Leozin,txddy,killjoy,sentinel,0.136,71,190.7,1.02,141.9,0.68,0.69,0.24,0.07,0.08,49,48,17,5,6,1612
1442,Laboratorio do Leozin,txddy,cypher,sentinel,0.091,46,201.5,1.16,133.7,0.59,0.78,0.09,0.02,0.02,36,31,4,1,1,1612
1443,Laboratorio do Leozin,txddy,brimstone,controller,0.045,23,238.0,1.06,161.0,0.7,0.74,0.52,0.09,0.00,17,16,12,2,0,1612
1444,RIZON,azury,chamber,sentinel,0.536,327,222.3,1.29,140.7,0.69,0.82,0.12,0.12,0.12,268,208,38,39,39,1372
1445,RIZON,azury,killjoy,sentinel,0.28600000000000003,162,243.0,1.40,161.3,0.74,0.82,0.24,0.10,0.08,133,95,39,17,13,1372
1446,RIZON,azury,cypher,sentinel,0.14300000000000002,88,246.5,1.45,150.9,0.75,0.95,0.13,0.14,0.05,84,58,11,12,4,1372
1447,RIZON,azury,brimstone,controller,0.036000000000000004,18,130.0,0.54,87.5,0.5,0.39,0.22,0.00,0.17,7,13,4,0,3,1372
1448,BLEED Academy,Juicy,jett,duelist,0.6,115,236.5,1.42,142.8,0.74,0.90,0.08,0.09,0.11,104,73,9,10,13,1417
1449,BLEED Academy,Juicy,raze,duelist,0.2,43,317.5,1.52,207.3,0.77,1.02,0.33,0.07,0.05,44,29,14,3,2,1417
1450,BLEED Academy,Juicy,reyna,duelist,0.1,17,189.0,1.00,122.6,0.71,0.71,0.24,0.00,0.18,12,12,4,0,3,1417
1451,BLEED Academy,Juicy,kayo,initiator,0.1,18,197.0,1.17,129.9,0.78,0.78,0.28,0.00,0.00,14,12,5,0,0,1417
1452,Oxygen Academy,Verno,sova,initiator,0.7879999999999999,1296,214.4,1.40,143.8,0.8,0.77,0.30,0.05,0.03,999,713,395,64,45,1727
1453,Oxygen Academy,Verno,chamber,sentinel,0.15,261,229.3,1.57,140.2,0.71,0.87,0.09,0.17,0.07,227,145,23,44,18,1727
1454,Oxygen Academy,Verno,skye,initiator,0.05,74,207.3,1.24,136.8,0.82,0.76,0.30,0.03,0.01,56,45,22,2,1,1727
1455,Oxygen Academy,Verno,yoru,duelist,0.013000000000000001,22,215.0,0.89,138.7,0.73,0.73,0.23,0.23,0.23,16,18,5,5,5,1727
1456,Valar Morghulis,b2kk,omen,controller,0.7140000000000001,115,195.0,1.06,125.3,0.75,0.72,0.26,0.09,0.06,83,78,30,10,7,1304
1457,Valar Morghulis,b2kk,viper,controller,0.28600000000000003,38,208.5,0.93,156.0,0.74,0.68,0.37,0.11,0.11,26,28,14,4,4,1304
1458,n/a,Aery,skye,initiator,0.43799999999999994,136,221.9,0.89,147.5,0.68,0.74,0.28,0.07,0.09,101,114,38,10,12,n/a
1459,n/a,Aery,chamber,sentinel,0.375,136,254.3,1.09,156.7,0.65,0.86,0.18,0.17,0.16,117,107,25,23,22,n/a
1460,n/a,Aery,kayo,initiator,0.188,66,177.0,0.55,115.8,0.58,0.52,0.36,0.14,0.17,34,62,24,9,11,n/a
1461,Crest Gaming Zst,NeruFi,killjoy,sentinel,0.33299999999999996,26,185.0,0.84,140.4,0.69,0.62,0.19,0.08,0.12,16,19,5,2,3,1654
1462,Crest Gaming Zst,NeruFi,skye,initiator,0.33299999999999996,21,217.0,1.14,144.5,0.76,0.76,0.33,0.00,0.10,16,14,7,0,2,1654
1463,Crest Gaming Zst,NeruFi,viper,controller,0.33299999999999996,21,258.0,1.06,170.7,0.62,0.86,0.38,0.10,0.05,18,17,8,2,1,1654
1464,XSET Female,starriebun,astra,controller,0.6,170,198.2,1.32,128.4,0.79,0.71,0.38,0.06,0.04,120,91,64,10,7,1664
1465,XSET Female,starriebun,brimstone,controller,0.2,61,245.0,1.21,160.2,0.72,0.85,0.26,0.03,0.05,52,43,16,2,3,1664
1466,XSET Female,starriebun,viper,controller,0.2,57,191.0,1.12,128.3,0.72,0.67,0.33,0.04,0.07,38,34,19,2,4,1664
1467,Made in Thailand,wannafly,killjoy,sentinel,0.4,79,205.5,1.04,138.7,0.75,0.70,0.20,0.08,0.11,55,53,16,6,9,1530
1468,Made in Thailand,wannafly,chamber,sentinel,0.4,78,228.8,1.05,138.3,0.69,0.81,0.17,0.17,0.10,63,60,13,13,8,1530
1469,Made in Thailand,wannafly,viper,controller,0.2,47,231.0,1.25,146.5,0.7,0.85,0.26,0.11,0.04,40,32,12,5,2,1530
1470,n/a,nillyaz,killjoy,sentinel,0.265,251,265.3,1.48,178.8,0.78,0.92,0.20,0.15,0.06,232,157,49,38,15,n/a
1471,n/a,nillyaz,breach,initiator,0.184,171,181.8,0.93,119.4,0.78,0.63,0.43,0.06,0.06,108,116,74,10,11,n/a
1472,n/a,nillyaz,sova,initiator,0.163,171,201.0,1.12,137.2,0.67,0.76,0.18,0.07,0.09,130,116,31,12,15,n/a
1473,n/a,nillyaz,chamber,sentinel,0.14300000000000002,151,206.0,1.02,133.6,0.72,0.70,0.17,0.11,0.13,105,103,25,16,19,n/a
1474,n/a,nillyaz,viper,controller,0.102,99,235.0,1.21,163.7,0.77,0.83,0.29,0.16,0.05,82,68,29,16,5,n/a
1475,n/a,nillyaz,cypher,sentinel,0.061,65,210.7,1.09,135.5,0.8,0.77,0.18,0.11,0.06,50,46,12,7,4,n/a
1476,n/a,nillyaz,fade,initiator,0.040999999999999995,36,196.5,2.07,133.5,0.86,0.81,0.36,0.06,0.06,29,14,13,2,2,n/a
1477,n/a,nillyaz,skye,initiator,0.02,22,259.0,1.44,168.7,0.82,1.05,0.18,0.14,0.05,23,16,4,3,1,n/a
1478,n/a,nillyaz,kayo,initiator,0.02,21,160.0,0.65,121.4,0.86,0.52,0.52,0.00,0.05,11,17,11,0,1,n/a
1479,FunPlus Phoenix,SUYGETSU,viper,controller,0.5,381,229.9,1.27,149.6,0.77,0.84,0.26,0.09,0.06,321,252,98,36,23,2400
1480,FunPlus Phoenix,SUYGETSU,sage,sentinel,0.25,223,193.7,1.01,130.3,0.71,0.72,0.25,0.05,0.05,161,159,56,12,11,2400
1481,FunPlus Phoenix,SUYGETSU,cypher,sentinel,0.15,129,209.7,1.11,140.6,0.72,0.77,0.19,0.09,0.02,99,89,24,11,3,2400
1482,FunPlus Phoenix,SUYGETSU,killjoy,sentinel,0.1,92,249.0,1.41,169.5,0.73,0.89,0.14,0.10,0.03,82,58,13,9,3,2400
1483,Sector One,MARCTYLINHO,fade,initiator,0.5,91,224.8,1.15,141.9,0.73,0.77,0.35,0.02,0.04,70,61,32,2,4,1325
1484,Sector One,MARCTYLINHO,sova,initiator,0.25,43,217.5,1.35,147.1,0.81,0.81,0.23,0.05,0.00,35,26,10,2,0,1325
1485,Sector One,MARCTYLINHO,omen,controller,0.125,20,148.0,0.80,89.2,0.75,0.60,0.30,0.00,0.00,12,15,6,0,0,1325
1486,Sector One,MARCTYLINHO,brimstone,controller,0.125,23,222.0,1.20,156.0,0.65,0.78,0.13,0.09,0.04,18,15,3,2,1,1325
1487,al kHARIF,M1KKET,sova,initiator,0.667,183,241.0,1.37,165.6,0.82,0.86,0.35,0.05,0.03,158,115,64,10,6,n/a
1488,al kHARIF,M1KKET,killjoy,sentinel,0.25,56,191.0,1.08,132.7,0.66,0.73,0.11,0.04,0.07,41,38,6,2,4,n/a
1489,al kHARIF,M1KKET,skye,initiator,0.083,23,264.0,1.77,162.7,0.78,1.00,0.22,0.09,0.04,23,13,5,2,1,n/a
1490,Todak,jeed,astra,controller,0.5,115,187.8,0.93,123.3,0.69,0.66,0.35,0.03,0.06,76,82,40,4,7,1432
1491,Todak,jeed,brimstone,controller,0.5,98,255.4,1.36,168.8,0.89,0.89,0.41,0.08,0.03,87,64,40,8,3,1432
1492,L Streak Female,Dolph,raze,duelist,0.563,194,236.6,1.18,159.1,0.73,0.79,0.21,0.14,0.15,153,130,41,28,29,1527
1493,L Streak Female,Dolph,jett,duelist,0.313,109,253.6,1.15,159.8,0.73,0.83,0.19,0.20,0.15,91,79,21,22,16,1527
1494,L Streak Female,Dolph,sage,sentinel,0.125,47,156.0,0.81,119.9,0.72,0.55,0.43,0.06,0.15,26,32,20,3,7,1527
1495,Leviatán Female,Bunnileyah,breach,initiator,0.33299999999999996,139,209.3,0.95,137.5,0.73,0.68,0.36,0.14,0.13,95,100,50,19,18,1526
1496,Leviatán Female,Bunnileyah,chamber,sentinel,0.23800000000000002,107,212.4,1.08,138.2,0.73,0.77,0.20,0.17,0.09,82,76,21,18,10,1526
1497,Leviatán Female,Bunnileyah,fade,initiator,0.19,77,170.0,0.92,111.0,0.65,0.62,0.34,0.04,0.16,48,52,26,3,12,1526
1498,Leviatán Female,Bunnileyah,skye,initiator,0.19,83,198.5,0.89,126.5,0.75,0.67,0.29,0.07,0.08,56,63,24,6,7,1526
1499,Leviatán Female,Bunnileyah,killjoy,sentinel,0.048,21,245.0,1.67,176.4,0.81,0.95,0.24,0.05,0.10,20,12,5,1,2,1526
1500,n/a,Nanners,raze,duelist,0.345,201,227.0,1.04,151.2,0.71,0.71,0.29,0.15,0.12,142,137,59,30,25,n/a
1501,n/a,Nanners,neon,duelist,0.24100000000000002,143,234.3,1.04,154.2,0.71,0.83,0.21,0.16,0.21,118,114,30,23,30,n/a
1502,n/a,Nanners,sage,sentinel,0.207,117,220.0,1.06,135.0,0.72,0.74,0.37,0.09,0.09,86,81,43,11,11,n/a
1503,n/a,Nanners,jett,duelist,0.10300000000000001,66,223.7,1.02,142.4,0.68,0.80,0.17,0.20,0.14,53,52,11,13,9,n/a
1504,n/a,Nanners,omen,controller,0.034,23,177.0,1.08,122.8,0.65,0.61,0.13,0.09,0.13,14,13,3,2,3,n/a
1505,n/a,Nanners,viper,controller,0.034,24,184.0,0.79,108.3,0.5,0.63,0.17,0.13,0.13,15,19,4,3,3,n/a
1506,n/a,Nanners,killjoy,sentinel,0.034,20,249.0,1.38,166.8,0.8,0.90,0.25,0.15,0.05,18,13,5,3,1,n/a
1507,Oasis Gaming,Wild0reoo,chamber,sentinel,0.5,171,190.1,0.87,121.0,0.64,0.68,0.11,0.13,0.17,117,134,18,23,29,1502
1508,Oasis Gaming,Wild0reoo,raze,duelist,0.313,117,241.6,1.17,161.3,0.69,0.83,0.18,0.17,0.16,97,83,21,20,19,1502
1509,Oasis Gaming,Wild0reoo,astra,controller,0.063,15,239.0,0.86,134.8,0.6,0.80,0.33,0.00,0.13,12,14,5,0,2,1502
1510,Oasis Gaming,Wild0reoo,viper,controller,0.063,20,151.0,0.69,86.3,0.35,0.55,0.10,0.05,0.30,11,16,2,1,6,1502
1511,Oasis Gaming,Wild0reoo,skye,initiator,0.063,21,163.0,0.55,108.4,0.67,0.52,0.29,0.10,0.14,11,20,6,2,3,1502
1512,TSM Academy,Harmful,chamber,sentinel,1.0,1139,246.6,1.23,156.1,0.7,0.88,0.14,0.18,0.13,999,812,165,205,152,1662
1513,TENSTAR Nova,Nelo,chamber,sentinel,0.846,228,224.7,1.19,145.2,0.71,0.81,0.12,0.13,0.14,184,154,28,30,33,1817
1514,TENSTAR Nova,Nelo,killjoy,sentinel,0.154,44,240.0,1.29,164.7,0.86,0.82,0.25,0.11,0.05,36,28,11,5,2,1817
1515,Complexity GX3,L4CE,skye,initiator,0.267,75,243.5,1.50,159.5,0.8,0.88,0.39,0.03,0.03,66,44,29,2,2,1613
1516,Complexity GX3,L4CE,fade,initiator,0.267,72,255.8,1.84,159.1,0.83,0.97,0.38,0.03,0.04,70,38,27,2,3,1613
1517,Complexity GX3,L4CE,kayo,initiator,0.2,70,203.7,1.24,139.7,0.79,0.80,0.47,0.04,0.06,56,45,33,3,4,1613
1518,Complexity GX3,L4CE,sova,initiator,0.133,40,230.5,1.38,152.2,0.78,0.83,0.30,0.05,0.03,33,24,12,2,1,1613
1519,Complexity GX3,L4CE,sage,sentinel,0.133,46,235.0,1.11,162.3,0.74,0.85,0.24,0.07,0.04,39,35,11,3,2,1613
1520,Cloud9 White,kat,omen,controller,0.615,303,216.1,1.31,135.3,0.76,0.80,0.30,0.07,0.07,243,185,91,22,21,2000
1521,Cloud9 White,kat,viper,controller,0.192,95,236.4,1.29,140.2,0.77,0.79,0.25,0.15,0.07,75,58,24,14,7,2000
1522,Cloud9 White,kat,astra,controller,0.154,71,211.3,1.57,130.3,0.8,0.82,0.21,0.03,0.06,58,37,15,2,4,2000
1523,Cloud9 White,kat,brimstone,controller,0.038,24,287.0,1.44,172.5,0.79,0.96,0.33,0.08,0.08,23,16,8,2,2,2000
1524,BBL Queens,eva,chamber,sentinel,0.28600000000000003,46,250.5,1.37,171.6,0.74,0.89,0.24,0.09,0.09,41,30,11,4,4,1591
1525,BBL Queens,eva,sova,initiator,0.28600000000000003,38,218.5,1.43,138.8,0.79,0.79,0.29,0.11,0.00,30,21,11,4,0,1591
1526,BBL Queens,eva,skye,initiator,0.28600000000000003,38,236.0,1.15,148.0,0.79,0.79,0.39,0.08,0.05,30,26,15,3,2,1591
1527,BBL Queens,eva,sage,sentinel,0.14300000000000002,19,260.0,1.73,169.9,0.84,1.00,0.16,0.05,0.16,19,11,3,1,3,1591
1528,REIGN,M1kE,chamber,sentinel,0.667,56,216.5,1.05,138.5,0.61,0.80,0.13,0.14,0.11,45,43,7,8,6,1657
1529,REIGN,M1kE,killjoy,sentinel,0.33299999999999996,18,224.0,0.86,152.6,0.72,0.67,0.17,0.00,0.17,12,14,3,0,3,1657
1530,n/a,juv11,astra,controller,0.6,64,212.3,1.16,148.1,0.73,0.78,0.27,0.03,0.06,50,43,17,2,4,n/a
1531,n/a,juv11,jett,duelist,0.2,23,133.0,0.57,84.7,0.43,0.52,0.09,0.09,0.13,12,21,2,2,3,n/a
1532,n/a,juv11,skye,initiator,0.2,28,249.0,1.26,178.5,0.82,0.86,0.25,0.07,0.00,24,19,7,2,0,n/a
1533,FURIA,dgzin,neon,duelist,0.5,47,217.0,0.95,136.3,0.7,0.77,0.17,0.15,0.17,36,38,8,7,8,1745
1534,FURIA,dgzin,chamber,sentinel,0.5,47,221.0,1.09,155.5,0.7,0.81,0.13,0.17,0.17,38,35,6,8,8,1745
1535,Complexity GX3,refinnej,chamber,sentinel,0.857,233,228.0,1.25,142.5,0.69,0.81,0.14,0.18,0.15,188,150,33,42,35,1613
1536,Complexity GX3,refinnej,sova,initiator,0.14300000000000002,38,203.5,1.04,150.7,0.74,0.68,0.32,0.03,0.05,26,25,12,1,2,1613
1537,n/a,jcrueL,chamber,sentinel,1.0,511,221.2,1.22,141.5,0.73,0.81,0.14,0.13,0.08,412,338,73,68,41,n/a
1538,Team Lixa,Bia,chamber,sentinel,0.667,82,197.0,0.97,123.4,0.63,0.68,0.15,0.09,0.09,56,58,12,7,7,1354
1539,Team Lixa,Bia,jett,duelist,0.33299999999999996,39,249.5,0.97,147.7,0.69,0.87,0.18,0.23,0.21,34,35,7,9,8,1354
1540,Knights,Frosty,raze,duelist,0.308,340,232.9,0.98,146.8,0.68,0.76,0.18,0.24,0.22,258,262,62,82,76,1754
1541,Knights,Frosty,sova,initiator,0.154,163,207.0,1.07,141.3,0.77,0.67,0.30,0.10,0.10,110,103,49,16,17,1754
1542,Knights,Frosty,jett,duelist,0.135,137,244.7,0.99,158.0,0.68,0.80,0.20,0.31,0.21,110,111,28,43,29,1754
1543,Knights,Frosty,breach,initiator,0.135,143,197.7,1.16,131.6,0.8,0.71,0.37,0.05,0.08,101,87,53,7,12,1754
1544,Knights,Frosty,kayo,initiator,0.077,83,207.3,0.94,138.1,0.65,0.71,0.30,0.08,0.14,59,63,25,7,12,1754
1545,Knights,Frosty,chamber,sentinel,0.057999999999999996,63,230.3,1.04,150.8,0.59,0.84,0.02,0.21,0.16,53,51,1,13,10,1754
1546,Knights,Frosty,fade,initiator,0.057999999999999996,69,204.3,0.94,136.5,0.78,0.74,0.25,0.14,0.10,51,54,17,10,7,1754
1547,Knights,Frosty,viper,controller,0.038,44,177.5,0.97,118.6,0.68,0.64,0.23,0.02,0.09,28,29,10,1,4,1754
1548,Knights,Frosty,omen,controller,0.019,26,213.0,1.29,133.9,0.65,0.85,0.23,0.15,0.04,22,17,6,4,1,1754
1549,Knights,Frosty,reyna,duelist,0.019,18,229.0,1.07,168.3,0.72,0.89,0.11,0.17,0.06,16,15,2,3,1,1754
1550,The Union,gobera,jett,duelist,0.455,411,231.0,1.16,148.8,0.71,0.81,0.21,0.17,0.18,331,286,88,68,72,1670
1551,The Union,gobera,raze,duelist,0.386,391,231.6,1.04,155.9,0.7,0.76,0.25,0.13,0.12,298,287,97,50,45,1670
1552,The Union,gobera,sage,sentinel,0.091,79,204.3,1.28,133.1,0.77,0.76,0.32,0.09,0.08,60,47,25,7,6,1670
1553,The Union,gobera,chamber,sentinel,0.068,62,284.3,1.56,184.0,0.76,0.98,0.21,0.23,0.10,61,39,13,14,6,1670
1554,Area of Effect,Rest,astra,controller,0.33299999999999996,337,191.8,0.89,122.7,0.68,0.67,0.25,0.06,0.08,227,254,84,19,27,1443
1555,Area of Effect,Rest,viper,controller,0.271,265,236.4,1.11,149.3,0.72,0.82,0.32,0.10,0.10,218,197,84,27,26,1443
1556,Area of Effect,Rest,omen,controller,0.22899999999999998,232,221.3,1.04,136.3,0.69,0.77,0.31,0.10,0.10,179,172,73,24,23,1443
1557,Area of Effect,Rest,brimstone,controller,0.16699999999999998,178,215.6,1.09,138.7,0.71,0.76,0.38,0.07,0.12,136,125,68,12,21,1443
1558,ZOL Meraki,PIETY,viper,controller,0.33299999999999996,75,168.7,0.96,122.3,0.63,0.60,0.27,0.07,0.15,45,47,20,5,11,1578
1559,ZOL Meraki,PIETY,astra,controller,0.222,40,202.0,1.21,128.2,0.8,0.73,0.45,0.05,0.05,29,24,18,2,2,1578
1560,ZOL Meraki,PIETY,kayo,initiator,0.222,56,274.0,1.41,176.2,0.8,0.93,0.45,0.14,0.14,52,37,25,8,8,1578
1561,ZOL Meraki,PIETY,killjoy,sentinel,0.222,37,294.5,1.78,207.0,0.78,1.11,0.19,0.11,0.08,41,23,7,4,3,1578
1562,n/a,TheNightChe,brimstone,controller,0.5,63,219.0,1.16,140.6,0.78,0.79,0.40,0.05,0.08,50,43,25,3,5,n/a
1563,n/a,TheNightChe,viper,controller,0.33299999999999996,39,257.5,1.06,162.9,0.87,0.85,0.21,0.05,0.08,33,31,8,2,3,n/a
1564,n/a,TheNightChe,breach,initiator,0.16699999999999998,19,120.0,0.53,88.8,0.63,0.42,0.26,0.11,0.16,8,15,5,2,3,n/a
1565,Anorthosis Famagusta Esports,TheoW,jett,duelist,0.727,168,211.3,1.00,139.8,0.64,0.73,0.18,0.17,0.21,122,122,30,28,35,1427
1566,Anorthosis Famagusta Esports,TheoW,chamber,sentinel,0.182,43,260.5,1.08,171.5,0.6,0.91,0.12,0.19,0.09,39,36,5,8,4,1427
1567,Anorthosis Famagusta Esports,TheoW,neon,duelist,0.091,20,247.0,1.13,145.9,0.85,0.85,0.10,0.25,0.05,17,15,2,5,1,1427
1568,Heracles Gaming,Dizayn,chamber,sentinel,0.5710000000000001,84,230.3,0.98,138.6,0.69,0.77,0.13,0.15,0.12,65,66,11,13,10,1395
1569,Heracles Gaming,Dizayn,jett,duelist,0.429,68,227.7,1.15,146.8,0.72,0.81,0.12,0.16,0.19,55,48,8,11,13,1395
1570,n/a,Posters,chamber,sentinel,0.545,120,267.5,1.32,169.8,0.72,0.96,0.16,0.15,0.13,115,87,19,18,16,n/a
1571,n/a,Posters,sage,sentinel,0.182,41,138.5,0.55,83.3,0.76,0.44,0.39,0.07,0.15,18,33,16,3,6,n/a
1572,n/a,Posters,killjoy,sentinel,0.091,19,203.0,0.65,127.4,0.58,0.58,0.21,0.00,0.16,11,17,4,0,3,n/a
1573,n/a,Posters,fade,initiator,0.091,24,156.0,0.79,109.2,0.58,0.46,0.54,0.04,0.08,11,14,13,1,2,n/a
1574,n/a,Posters,brimstone,controller,0.091,22,184.0,1.00,114.3,0.77,0.68,0.27,0.09,0.18,15,15,6,2,4,n/a
1575,ONIC G,Monyet,jett,duelist,0.643,175,211.8,0.93,132.7,0.67,0.73,0.18,0.15,0.17,127,136,31,27,30,1762
1576,ONIC G,Monyet,neon,duelist,0.28600000000000003,79,239.5,1.14,153.6,0.65,0.81,0.22,0.14,0.22,64,56,17,11,17,1762
1577,ONIC G,Monyet,raze,duelist,0.071,22,189.0,0.88,129.5,0.77,0.64,0.18,0.05,0.09,14,16,4,1,2,1762
1578,Fenerbahçe Esports,Elite,cypher,sentinel,0.267,78,232.3,1.60,147.5,0.79,0.88,0.15,0.09,0.04,69,43,12,7,3,1491
1579,Fenerbahçe Esports,Elite,chamber,sentinel,0.267,80,194.5,1.00,129.4,0.65,0.78,0.05,0.09,0.11,62,62,4,7,9,1491
1580,Fenerbahçe Esports,Elite,skye,initiator,0.2,62,228.0,1.36,142.5,0.74,0.85,0.34,0.05,0.08,53,39,21,3,5,1491
1581,Fenerbahçe Esports,Elite,sova,initiator,0.067,18,227.0,1.15,124.4,0.67,0.83,0.11,0.00,0.06,15,13,2,0,1,1491
1582,Fenerbahçe Esports,Elite,kayo,initiator,0.067,30,189.0,0.79,131.4,0.77,0.63,0.30,0.00,0.07,19,24,9,0,2,1491
1583,Fenerbahçe Esports,Elite,astra,controller,0.067,26,185.0,1.19,131.7,0.77,0.73,0.35,0.08,0.04,19,16,9,2,1,1491
1584,Fenerbahçe Esports,Elite,viper,controller,0.067,16,278.0,3.60,154.9,0.88,1.13,0.13,0.06,0.06,18,5,2,1,1,1491
1585,n/a,Targonca,jett,duelist,0.667,236,216.2,1.08,143.1,0.67,0.79,0.15,0.14,0.13,187,173,35,34,30,n/a
1586,n/a,Targonca,kayo,initiator,0.16699999999999998,56,211.7,1.00,129.1,0.77,0.73,0.34,0.09,0.04,41,41,19,5,2,n/a
1587,n/a,Targonca,raze,duelist,0.055999999999999994,36,204.0,0.92,150.1,0.72,0.64,0.25,0.06,0.08,23,25,9,2,3,n/a
1588,n/a,Targonca,omen,controller,0.055999999999999994,17,185.0,1.00,103.4,0.59,0.71,0.29,0.12,0.24,12,12,5,2,4,n/a
1589,n/a,Targonca,chamber,sentinel,0.055999999999999994,28,161.0,0.61,111.3,0.46,0.50,0.11,0.18,0.11,14,23,3,5,3,n/a
1590,Squad Of Aces Blaze,Miiizzy,jett,duelist,0.33299999999999996,43,262.5,1.39,166.4,0.65,0.91,0.19,0.19,0.12,39,28,8,8,5,1493
1591,Squad Of Aces Blaze,Miiizzy,raze,duelist,0.33299999999999996,52,270.0,1.13,170.7,0.71,0.87,0.21,0.23,0.15,45,40,11,12,8,1493
1592,Squad Of Aces Blaze,Miiizzy,brimstone,controller,0.16699999999999998,26,209.0,0.95,129.5,0.69,0.69,0.46,0.19,0.15,18,19,12,5,4,1493
1593,Squad Of Aces Blaze,Miiizzy,viper,controller,0.16699999999999998,15,289.0,1.07,197.9,0.73,1.00,0.13,0.20,0.07,15,14,2,3,1,1493
1594,Guild X,aNNja,sage,sentinel,0.33299999999999996,67,213.8,1.31,130.6,0.78,0.76,0.43,0.04,0.07,51,39,29,3,5,1874
1595,Guild X,aNNja,kayo,initiator,0.25,51,342.7,2.95,220.1,0.92,1.27,0.53,0.12,0.04,65,22,27,6,2,1874
1596,Guild X,aNNja,skye,initiator,0.16699999999999998,44,186.0,0.97,114.8,0.8,0.66,0.27,0.05,0.14,29,30,12,2,6,1874
1597,Guild X,aNNja,breach,initiator,0.083,18,288.0,2.22,185.1,0.78,1.11,0.28,0.17,0.00,20,9,5,3,0,1874
1598,Guild X,aNNja,brimstone,controller,0.083,24,216.0,1.05,140.9,0.79,0.83,0.17,0.04,0.13,20,19,4,1,3,1874
1599,Guild X,aNNja,omen,controller,0.083,22,283.0,1.60,163.9,0.77,1.09,0.14,0.00,0.09,24,15,3,0,2,1874
1600,Team Vitality,baddyG,viper,controller,0.5,218,230.4,1.14,157.3,0.78,0.77,0.38,0.09,0.05,167,146,83,19,10,1577
1601,Team Vitality,baddyG,omen,controller,0.455,217,203.4,1.08,133.8,0.77,0.72,0.39,0.07,0.05,157,146,85,16,11,1577
1602,Team Vitality,baddyG,astra,controller,0.045,15,189.0,0.69,130.5,0.6,0.60,0.27,0.07,0.27,9,13,4,1,4,1577
1603,Enigma Gaming,Excali,skye,initiator,0.297,223,187.8,1.08,123.3,0.73,0.67,0.25,0.09,0.10,150,139,56,21,23,1655
1604,Enigma Gaming,Excali,kayo,initiator,0.243,193,236.3,1.14,152.5,0.8,0.80,0.56,0.12,0.09,154,135,108,24,17,1655
1605,Enigma Gaming,Excali,fade,initiator,0.18899999999999997,152,243.6,1.23,154.7,0.74,0.85,0.34,0.08,0.12,129,105,52,12,18,1655
1606,Enigma Gaming,Excali,raze,duelist,0.135,108,239.4,1.05,151.4,0.73,0.81,0.14,0.11,0.19,88,84,15,12,20,1655
1607,Enigma Gaming,Excali,neon,duelist,0.10800000000000001,90,208.3,0.85,137.4,0.62,0.67,0.18,0.22,0.19,60,71,16,20,17,1655
1608,Enigma Gaming,Excali,sova,initiator,0.027000000000000003,23,197.0,0.74,139.7,0.74,0.61,0.48,0.00,0.13,14,19,11,0,3,1655
1609,Guild Esports,Leo,sova,initiator,0.364,184,244.3,1.37,162.4,0.81,0.87,0.41,0.05,0.04,160,117,75,9,8,1871
1610,Guild Esports,Leo,fade,initiator,0.318,147,195.0,1.06,129.3,0.76,0.72,0.33,0.03,0.02,106,100,48,5,3,1871
1611,Guild Esports,Leo,breach,initiator,0.22699999999999998,116,205.2,1.06,130.9,0.77,0.75,0.30,0.09,0.03,87,82,35,11,4,1871
1612,Guild Esports,Leo,kayo,initiator,0.045,26,220.0,1.05,130.3,0.81,0.77,0.50,0.00,0.12,20,19,13,0,3,1871
1613,Guild Esports,Leo,reyna,duelist,0.045,20,224.0,0.94,131.8,0.6,0.75,0.15,0.30,0.35,15,16,3,6,7,1871
1614,LaZe,STYRON,sova,initiator,0.762,334,226.8,1.33,151.5,0.76,0.81,0.31,0.07,0.06,269,202,104,25,20,n/a
1615,LaZe,STYRON,fade,initiator,0.14300000000000002,62,175.0,0.80,110.2,0.73,0.60,0.27,0.03,0.06,37,46,17,2,4,n/a
