,current_team,player_name,agent_played,role_on_team,usage,rnd_num,avg_combat_score,kill_death_ratio,avg_dmg,kast,kills_per_rnd,ast_per_rnd,fk_per_rnd,fd_per_rnd,kills,death,ast,fk,fd,team_rank
241,n/a,wrld,raze,duelist,0.10300000000000001,83,348.5,1.56,205.3,0.78,1.14,0.25,0.22,0.14,95,61,21,18,12,n/a
242,n/a,wrld,kayo,initiator,0.077,64,246.7,1.24,152.8,0.78,0.88,0.39,0.09,0.09,56,45,25,6,6,n/a
243,n/a,wrld,reyna,duelist,0.026000000000000002,24,188.0,0.75,109.8,0.54,0.63,0.13,0.13,0.21,15,20,3,3,5,n/a
244,MIBR,jzz,neon,duelist,0.364,90,254.3,1.10,169.9,0.73,0.84,0.20,0.24,0.18,76,69,18,22,16,1646
245,MIBR,jzz,chamber,sentinel,0.273,63,283.7,1.31,173.0,0.68,1.00,0.11,0.17,0.11,63,48,7,11,7,1646
246,MIBR,jzz,raze,duelist,0.273,64,230.3,0.98,152.9,0.81,0.77,0.20,0.11,0.14,49,50,13,7,9,1646
247,MIBR,jzz,jett,duelist,0.091,38,219.0,0.97,140.2,0.68,0.76,0.05,0.32,0.24,29,30,2,12,9,1646
248,SWARM esports,Smoke,chamber,sentinel,0.905,438,247.1,1.27,154.2,0.72,0.90,0.14,0.17,0.10,394,310,62,74,43,n/a
249,SWARM esports,Smoke,cypher,sentinel,0.048,24,228.0,1.00,145.1,0.58,0.75,0.21,0.17,0.13,18,18,5,4,3,n/a
250,SWARM esports,Smoke,neon,duelist,0.048,36,302.0,1.21,183.2,0.69,0.97,0.14,0.28,0.14,35,29,5,10,5,n/a
251,Sentinels,Zellsis,raze,duelist,0.278,113,264.2,1.54,168.4,0.8,0.94,0.25,0.09,0.13,106,69,28,10,15,1725
252,Sentinels,Zellsis,kayo,initiator,0.222,88,206.3,0.93,130.9,0.69,0.74,0.40,0.14,0.13,65,70,35,12,11,1725
253,Sentinels,Zellsis,sage,sentinel,0.222,73,235.3,1.59,152.0,0.82,0.89,0.47,0.08,0.04,65,41,34,6,3,1725
254,Sentinels,Zellsis,killjoy,sentinel,0.16699999999999998,69,215.3,0.89,155.4,0.65,0.70,0.28,0.09,0.16,48,54,19,6,11,1725
255,Sentinels,Zellsis,viper,controller,0.111,41,393.0,2.75,244.0,0.83,1.34,0.59,0.15,0.07,55,20,24,6,3,1725
256,FiRePOWER,mmonch,chamber,sentinel,0.41700000000000004,87,260.4,2.38,165.7,0.82,1.01,0.15,0.17,0.09,88,37,13,15,8,1710
257,FiRePOWER,mmonch,killjoy,sentinel,0.25,49,268.3,1.80,183.1,0.94,0.92,0.33,0.20,0.02,45,25,16,10,1,1710
258,FiRePOWER,mmonch,breach,initiator,0.25,65,224.3,1.54,145.2,0.82,0.88,0.38,0.03,0.05,57,37,25,2,3,1710
259,FiRePOWER,mmonch,kayo,initiator,0.083,14,280.0,2.80,170.3,0.93,1.00,0.86,0.14,0.14,14,5,12,2,2,1710
260,No Namers,Vera,jett,duelist,0.6,130,226.0,0.92,141.7,0.67,0.75,0.21,0.20,0.15,97,105,27,26,19,1524
261,No Namers,Vera,raze,duelist,0.2,36,271.5,1.38,191.9,0.81,0.92,0.39,0.11,0.14,33,24,14,4,5,1524
