matchId,puuid,tier,champion
JP1_357869520,-95aded--i4I2231XKWsqzTGPuTmYCG0gq9B88lPZYfVWzI_Pt1auQSxLewqLjhkdTvHv2eF1SqlPQ,IRON,Leona
JP1_357859013,-95aded--i4I2231XKWsqzTGPuTmYCG0gq9B88lPZYfVWzI_Pt1auQSxLewqLjhkdTvHv2eF1SqlPQ,IRON,Leona
JP1_349852151,28eXB6a17tAk14e6BGptKxM51AmeIuxJlJQF_tbFk5_XiEH2ElRGXTKO3uFjxEXJ_g9X6Wxwo_88Pg,IRON,Nautilus
JP1_349408140,28eXB6a17tAk14e6BGptKxM51AmeIuxJlJQF_tbFk5_XiEH2ElRGXTKO3uFjxEXJ_g9X6Wxwo_88Pg,IRON,Jhin
JP1_349416447,28eXB6a17tAk14e6BGptKxM51AmeIuxJlJQF_tbFk5_XiEH2ElRGXTKO3uFjxEXJ_g9X6Wxwo_88Pg,IRON,Cho'Gath
JP1_359278179,OG1XAnRQ3UZ6jhr5JJ0BuWMiuANwcOQztoxNP4d0bVLfSCYB8bPe5HdPU_7JeaVvOZpOZKNiACUhHA,IRON,Lux
JP1_359268372,OG1XAnRQ3UZ6jhr5JJ0BuWMiuANwcOQztoxNP4d0bVLfSCYB8bPe5HdPU_7JeaVvOZpOZKNiACUhHA,IRON,Leona
JP1_359267792,OG1XAnRQ3UZ6jhr5JJ0BuWMiuANwcOQztoxNP4d0bVLfSCYB8bPe5HdPU_7JeaVvOZpOZKNiACUhHA,IRON,Leona
JP1_344604749,9zkWYRDkdUb-WMzU_YWrtHG8ksjhV31ztrNGLaKDo_3mBl04r1T4SFrCbGQAD68YvJ-cmQisjSdifQ,IRON,Tristana
JP1_344613096,9zkWYRDkdUb-WMzU_YWrtHG8ksjhV31ztrNGLaKDo_3mBl04r1T4SFrCbGQAD68YvJ-cmQisjSdifQ,IRON,Tristana
JP1_344611109,9zkWYRDkdUb-WMzU_YWrtHG8ksjhV31ztrNGLaKDo_3mBl04r1T4SFrCbGQAD68YvJ-cmQisjSdifQ,IRON,Tristana
JP1_340623780,Ue9Mg_92XV1TIbF1VF6G69uopsyJWOHwm8pFuWqOJsGvuEzEvSFnM79MQkByWrXo6cWw3LfRHPpsLA,IRON,Fizz
JP1_340603813,Ue9Mg_92XV1TIbF1VF6G69uopsyJWOHwm8pFuWqOJsGvuEzEvSFnM79MQkByWrXo6cWw3LfRHPpsLA,IRON,Syndra
JP1_340612717,Ue9Mg_92XV1TIbF1VF6G69uopsyJWOHwm8pFuWqOJsGvuEzEvSFnM79MQkByWrXo6cWw3LfRHPpsLA,IRON,Kassadin
JP1_366191888,mFIpr5AASIwxV3EzSQyAHwF1dvdMI7uXz5JqtgJWAgRUZWYoOlqfn0iaC9am4NbT1ac_0lc27iJH3Q,IRON,Tryndamere
JP1_366190442,mFIpr5AASIwxV3EzSQyAHwF1dvdMI7uXz5JqtgJWAgRUZWYoOlqfn0iaC9am4NbT1ac_0lc27iJH3Q,IRON,Viego
JP1_365562281,mFIpr5AASIwxV3EzSQyAHwF1dvdMI7uXz5JqtgJWAgRUZWYoOlqfn0iaC9am4NbT1ac_0lc27iJH3Q,IRON,Viego
JP1_361977960,EkQUltEWhdhHVWOTB314ISAUwYm7oR_2qDmnNcxDn17X9_YjBGHAhLyHg4ZZMEiNTfhlC9h4BlNPMA,IRON,Garen
JP1_358595832,EkQUltEWhdhHVWOTB314ISAUwYm7oR_2qDmnNcxDn17X9_YjBGHAhLyHg4ZZMEiNTfhlC9h4BlNPMA,IRON,Garen
JP1_358584598,EkQUltEWhdhHVWOTB314ISAUwYm7oR_2qDmnNcxDn17X9_YjBGHAhLyHg4ZZMEiNTfhlC9h4BlNPMA,IRON,Miss Fortune
